name|link|desc
Boombox.io|https://boombox.io/|Creators need to create, not get mired in monotonous, boring tasks. Boombot harnesses the power of AI to help musicians organize their work, explore new ideas, and accelerate their creative process.
Brev.ai|https://brev.ai/it/sound-effect|genera suoni, effetti sonori, rimuove voce, genera musica, podcasting
Butterfly|https://m.butterflies.ai/|Create, chat, and hang out with your AI characters in Butterflies - AI the home of the most realistic AI companions - conversations
Canva.com|https://www.canva.com/magic/|Video Editing Canva Magic Studio All the power of Canva's AI, all in one place. Magic Studio™ brings together the best AI-powered tools for you and your team, right inside Canva.
Capterra|https://www.capterra.com/p/10006163/Rask-AI/alternatives/|alternative a rask clona voci
Captions ||Captions is an AI-powered app designed for video creation and editing, offering features such as automatic captions and subtitles generation, script creation, eye contact correction, language translation, and easy sharing on various platforms.
Chat GPT | https://chat.openai.com/|Alternative to Poe 
ChatGPT for work|https://chatgpt.com| è un’estensione di ChatGPT per avere sempre a portata di click in google Sheets o in Docs le funzionalità dell’app  top5
Chatbot Arena|https://chat.lmsys.org/?arena|compara modelli,elenco
Chatiaik.com|https://Chatiaik.com|
ChatSonic|https://writesonic.com/chat|Like ChatGPT but with Google integration, images, voice search and API. #immagini
Cheshire|https://cheshirecat.ai/|Cheshire Cat AI is a production-ready AI framework. Top. Italiano. developers
Classificazione email||gestire informazioni;
Claude.ai|https://www.anthropic.com/claude|come chatgpt - upload documenti
Claude2|https://claude.ai|come chatgpt ma di anthropic
Cleanfeed|https://cleanfeed.net/|serve per le registrazioni da remoto di qualità - Separa voce da tutto il resto. Pazzesco. Max 30 min ver. gratuita. Cleanfeed is free to get started, and that includes commercial use. You can upgrade at any time to Cleanfeed Pro. podcast
Cleanup |https://cleanup.pictures/|elimina tutti quegli elementi che rovinano le tue foto.  #pulisce immagini
Clear|https://product.supertone.ai/clear|servizio online per separare nell'audio la voce da tutto il resto, consigliato da Antonio per podcast
Clipchamp|https://clipchamp.com/it/|video editor
Cody||consente di realizzare il tuo assistente AI personalizzato, rispetto ad Ora è ad un livello di professionalità superiore. Come funziona? Dagli in pasto tutte le informazioni utili che riguardano il tuo business, come testi, immagini, documentazioni. L’app acquisirà tutta la conoscenza necessaria per fornirti un reale supporto da assistente virtuale. local custom chat
Compl.ai|https://github.com/compl-ai/compl-ai|An open-source compliance-centered evaluation framework for Generative AI models 
Compose|https://chromewebstore.google.com/detail/compose-ai-ai-powered-wri/ddlbpiadoechcolndfeaonajmngmhblj?pli=1|è un’estensione Chrome di auto-completamento. In sostanza, ogni volta che su qualunque app, sito o altro stai scrivendo del testo questa estensione ti aiuta a risparmiare circa il 40% del tempo
Cohere|https://cohere.com/|Enterprise AI Platform Built on the language of business Optimized for enterprise generative AI, search and discovery, and advanced retrieval.Our models are designed to augment and elevate the global workforce
Condens|https://condens.io/AI/|per esperti di UX. Purpose-built for UX Research At Condens, we leverage AI to automate tedious tasks and assist in others, yet recognize the unique depth and empathy researchers bring to the analysis. Our goal? To integrate AI-driven features into Condens that streamline the workflow while leaving the core analysis to researchers to maintain the quality of the results with minimal effort.
Contents.ai|https://www.contents.ai/|YOUR AI WRITING ASSISTANT Generate any type of content in just a few seconds
Copy.ai|https://www.copy.ai/| genera testi creativi e coinvolgenti per scopi pubblicitari, di marketing o di branding. Automate tasks. Eliminate bloat.
Cortex|https://www.snowflake.com/en/data-cloud/cortex/|Snowflake Cortex AI Quickly analyze unstructured data and build generative AI applications using fully managed LLMs, RAG and text-to-SQL services. Enable multiple users to use AI services with no-code, SQL and REST API interfaces.#top
Craiyon.com|https://www.craiyon.com/|Create AI Art with our free AI image generator, #immagini
Crewai|https://www.crewai.com/|The Leading Multi-Agent Platform Streamline workflows across industries with powerful AI agents. Build and deploy automated workflows using any LLM and cloud platform. #agenti #top
Crowdin|https://crowdin.com/ai-localization|traduzioni
CurioAI||which creates a custom podcast on any subject you ask about, is a glimpse of what’s coming
Dall-e 3|https://labs.openai.com|immagini
Dashtone|https://dashtoon.com/ai-comic-generator|Dashtoon Studio: Revolutionizing AI Comic Creation Revolutionize your AI comic creation process with Dashtoon Studio's cutting-edge AI technology. Say goodbye to the struggles of traditional comic-making and embrace effortless creativity!
Db vettoriali||To create personal agents, we need a new type of database that can capture all the nuances of your interests and relationships and quickly recall the information while maintaining your privacy. We are already seeing new ways of storing information, such as vector databases, that may be better for storing data generated by machine learning models
Deep.ai|https://www.deepai.org|Chat buona e generatore immagini e video e musica incontrollabili
Deepl pro|https://deepl.com|traduzioni, europeo
Delfi.ai|https://www.delfi.ai/|Delfi.ai estrae automaticamente le informazioni finanziarie relative alla tua azienda comparandole con i dati di aziende simili alla tua, restituendoti un benchmark con indicazioni preziose per potenziare il tuo business. 
Deloitte||- ricerca indipedente dalla lingua - giornalismo automatico
Deloitte||legal design - condizioni contrattuali semplificazione del linguaggio emplifichiamo le clausole contrattuali  federico neri : chat bot multilingue  federico neri: controllo giornalistico per cambiare aggettivi, 3000 articoli, 70 news al minuto (e controllo fonti)
Descript| https://www.descript.com/|ti permette di editare un video in una manciata di secondi, testo genera video
Designerr|https://designrr.io/|Create eBooks & Leadmagnets, scrittura libri
Disposable Email | https://temp-mail.org/it/|
Docparser|https://docparser.com/|Docparser è una piattaforma di estrazione dati che utilizza Mistral.ai per elaborare automaticamente i documenti e estrarre i dati rilevanti.
Docsumo|https://docsumo.com/|Docsumo è una piattaforma di elaborazione automatica dei documenti che utilizza Mistral.ai per estrarre i dati dai documenti e generare riassunti automatici.
Dolby|https://dolby.io| controlla qualità audio, Enhance audio - Embed audio enhancement into your applications to enable speech enhancement and background noise reduction in your applications. Drive engagement with high-fidelity media and premium audio features., podcast
Dolly|https://www.databricks.com/blog/2023/03/24/hello-dolly-democratizing-magic-chatgpt-open-models.html|Free Dolly: Introducing the World's First Truly Open Instruction-Tuned LLM
Dorosi |https://dorosiai.typedream.app/|un tool che permette di creare delle favole.
Dubformer|https://dubformer.ai/| Content localization with AI Dubbing - come rask costa meno meno funzioni clona voci, podcast
Durable|https://durable.co/| crea bei siti
Eightify|https://eightify.app/|YouTube video summaries with Eightify and ChatGPT 
Elaborazione del linguaggio naturale (PNL)
Elevenlabs.io|https://elevenlabs.io/|Create the most realistic speech with our AI audio platform Pioneering research in  Text to Speech, AI Voice Generator, and more - (genera e traduce voce ed effetti speciali; genera voce in altre lingue) - podcast - top; anche effetti sonori; isola anche la voce
Empatico chatbot||gestire informazioni;
Enhance Adobe Podcast | https://podcast.adobe.com/enhance|
ExpediteSocial|https://appsumo.8odi.net/g1V469|Software free
Explosion.ai|https://explosion.ai/|Explosion builds developer tools for AI, Machine Learning and Natural Language Processing #spacy
Extrazione||gestire informazioni;
EzDubs |https://www.ezdubs.ai/|Real-time AI voice dubbing for video and livestreams with voice preservation. Break down language barriers to videos and live streams. Engage viewers from multiple demographies.
FaceTune|https://www.facetuneapp.com/| rende foto bizzarre
Filmora 13|https://filmora.wondershare.it/|video
Fireflies.ai|https://fireflies.ai/|estrapola la trascrizione di ciò che è stato detto durante la riunione, fa un riassunto con un focus sui punti salienti e genera anche i task da indirizzare ai diversi partecipanti. Meeting di lavoro
Flux|https://www.useflux.ai|Train the highest quality AI image models for custom AI Portraits The #1 way to train custom AI image models for headshots, portraits, products, and brand asset immagini personalizzate
fluxaiimagegenerator|https://fluxaiimagegenerator.com/|crea da prompt immagini e video, e anche prompt da immagini, 
Foocus|https://www.fooocus.cc/|an image editing tool that uses machine learning technology to focus on focus selection and depth estimation of images.#immagini resize, allarga, migliora le immagini, top
Fotor|https://www.fotor.com/images/create| genera immagini
Frase.io||
Gamma.app|https://gamma.app/|Generazione presentazioni powerpoint slides. Ottima top5
Gatesnotes.com|https://www.gatesnotes.com/AI-agents|elenchi di risorse
Gemini|https://gemini.gov.com/|Gemini (Google) integrate in Gmail and Google Workspace
Generated Photos||genera dal nulla volti di persone che non esistono
Ginger||
chatGeospy.ai|https://geospy.ai| per trovare la posizione di una foto
GitHub Copilot||Coding
Glass Health  |https://glass.health/|Healcare and administration Health can analyze a patient summary and suggest diagnoses for the doctor to consider
Glean|https://www.glean.com/|The AI-powered work assistant. Across all your company’s data.
GoCharlie|| è lo strumento di AI per voi. Con GoCharlie potete creare immagini esclusive da un testo in alta risoluzione, lavorare ai contenuti testuali, estrarre testi, riassunti e post da contenuti video, ma anche realizzare interi piani editoriali.
Goenhance|https://www.goenhance.ai/tools/ai-comic-generator|Transform your text into vibrant comic stories with GoEnhanceAI's AI Comic Generator. For storytellers and creatives, create captivating comics effortlessly
Google Bard|| app di scrittura assistita da IA, chatbot di Google, offre suggerimenti e correzioni
Google DEV dev|https://ai.google.dev/|Gemini (Google) for developers
Google music lm||
Google studio|https://aistudio.google.com/app/prompts/new_chat|Gemini gemma non disponibile in Europa
Gpt 3.5||come chatgpt
Gpt 4||come chatgpt
Gptflow ai|| chatbot addestrato sui tuoi dati
Gradio|https://www.gradio.app/|developers - Gradio is the fastest way to demo your machine learning model with a friendly web interface so that anyone can use it, anywhere!
Grammarly|https://www.grammarly.com/summarizing-tool|Sintetizza brevi testi, summarize
Grok|https://x.ai/|Ai di Elon Muskm uncensored AI
Groqnotes|https://groqnotes.com/|Generate notes from audio in seconds using Groq, Whisper, and Llama3. Fast AI as summarizer and make abstract ready for a pdf after a call,text extractor
Happierleads|https://appsumo.8odi.net/9g3rz3
Haveibeencloned||la mia immagine e' stata clonata ?
Heydrafter|www.heydrafter.com|trascrizioni sbobina e sintetizza video su youtube
Heygen|https://www.heygen.com/| creare video senza usare la faccia, clona voce e faccia e traduce in altre lingue, crea avatar
Hipdf|https://www.hipdf.com/app/chat-pdf|ai-read-pdf - AI PDF Reader: Summarize, Rewrite, Explain, and Ask PDF Online rag top analisi documenti
HIX AI|https://hix.ai/it/| del genere ShortlyAI per scrivere articoli, giornalisti
Highlightcover||images #immagini
Hailuoai.video|https://hailuoai.video/|video generator
Hugging Chat|https://huggingface.co/chat/|Alternative to Poe and ChatGPT
Hugging face hub|https://huggingface.co/|compare, developers, elenchi
Hune|https://www.hume.ai/|Empathic AI
Hyperdoc  ||per i dati non strutturati da strutturare HYPERDOC https://analyticsnetwork.co/hyperdoc/ Estrai le informazioni giuste da tutti i tuoi documenti con l’aiuto dell’AI conversazionale
Ideogram AI|https://ideogram.ai|top genera immagini photo images realistiche anime, da testo. 
Igan.ai||dismissed
Iki.ai|https://iki.ai/|Smart library & Knowledge Assistant for professionals and teams,rag,documents
Image amigo|| realizza sfuocature del fondo o altro #immagini
Image larger||ingrandisce migliorando la qualità delle #immagini
Imgupscaler|https://imgupscaler.media.io/app/upscaler|migliora #immagini
Indici|https://farfalla-project.org/readability_static/|indice gulpease di leggibilità dei testi
Inflection AI|https://inflection.ai/|
Inksprout|https://inksprout.co/|genera testi da video  summaries & captions
Invideo |https://invideo.io/make/ai-video-generator/|genera video Free AI Video Generator prompt | invideo AI Generate AI videos with just a text using invideo's AI video generator. It generates the script and adds video clips, subtitles, background music, and transitions automatically.
Jasper.ai|https://www.jasper.ai/|Marketing revolutionized by AI, text enhance
Jitter.video|https://jitter.video/|Jitter · Fast and simple motion design tool. Create professional animated content with Jitter.
Kaggle|https://www.kaggle.com/|Discover a huge repository of community-published modelsm directory elenco modelli comparabili
Kaiber||app di editing video assistita da IA che semplifica il processo di montaggio e post-produzione. Analizza automaticamente i tuoi contenuti video, individuare i momenti salienti e generare tagli precisi.
Just another big list|https://github.com/jamesmurdza/awesome-ai-devtools|Awesome AI-Powered Developer Tools This is a curated list of AI-powered developer tools. These tools leverage AI to assist developers in tasks such as code completion, refactoring, debugging, documentation, and more.
Kensho AI|https://kensho.com/|Kensho’s world-class solutions discover, extract, link and enrich unstructured data, creating value for users at all levels and roles in an organization. big data,analytics,transcription, classify, connections, extract
Kgrail di deloitte||usato in  - mining . sentimento  brand pasiotinog mood analysys lavoratori emozioni
Khanmigo||A text-based bot created by Khan Academy. It can tutor students in math, science, and the humanities—for example, it can explain the quadratic formula and create math problems to practice on
Klippa|https://klippa.com/|Klippa è una piattaforma di elaborazione automatica dei documenti che utilizza Mistral.ai per estrarre i dati dalle fatture e dalle ricevute.
Latticeflow|https://latticeflow.ai/|First EU AI Act Compliance-Centered Evaluation Framework for Generative AI validate AI applications against emerging standards like the EU AI Act. By ensuring rigorous validation of AI data and models, we help organizations mitigate risks and meet regulatory requirements. consulting; check verify complaince
LEO|https://brave.com/leo/|From Brave a plugin as summarizer pages
LLM Price|https://llm-price.com/|Comparatore di costi e prezzi dei vari modelli, ottimo anche come elenco di servizi disponibili a sviluppatori e developers come API
Lalalai|https://www.lalal.ai/it/|Extract vocal, accompaniment and various instruments from any audio and video - podcast
Langchain|https://www.langchain.com/|LangChain helps developers build, observe, and deploy context-aware, reasoning applications with large language models (LLMs). LangSmith provides engineering rigor and visibility for LLM development, testing, and monitoring.
LanguageVault|https://language.link| security platform 
Launchcasts.com|https://launchcasts.com|generatore di podcast. Assiste nelle cover, script, e audio... Voce italiana eccellente. Senza fronzoli, ma potente.top
Launchpod.ai|https://launchpod.ai/|Crea ospiti virtuali, clona voci realistiche, definisci i caratteri della voce, crea plot, crea audio interattivo, clona in altre lingue, distribuisci e aggiungi effetti speciali, top,podcast
Leonardo AI|https://leonardo.ai/|Unveil New Creative Horizons with Fine-tuned Models,genera immagini, quadri e 3d texture
Leonardo|https://www.anthropic.com/|con un click ti permette di creare degli assets per i videogiochi.  AI Image Generator - Create Art, Images & Video Leonardo AI Create your next artwork, with the power of Leonardo Ai. Start using Leonardo. No credit card needed. Transform your projects with our AI image generator. #immagini
Letsenhance.io|https://letsenhance.io/pricing|migliora immagini
Lindo AI|https://appsumo.8odi.net/6e5nOG
Llama2|https://llama.meta.com/llama2/|modello
Lm studio|https://lmstudio.ai/|software per installazione,elenco servizi,Run LLMs on your laptop, entirely offline, alternative pinokio
Lokalise|https://lokalise.com/|A Localization and Translation Software Tool Lokalise is a one-stop solution for translating and localizing web apps, mobile apps, documents, games, and marketing assets. It offers AI-powered translations, collaboration tools, quality checks, integrations, and more.
Luminar.ai|https://skylum.com/it/luminar-ai|software di editing con AI con più di 20 esclusivi effetti fotografici e funzioni di editing. Puoi abbellire i paesaggi, ritoccare i ritratti, rimuovere dettagli indesiderati in un clic e perfino cambiare cielo modificando completamente la luce della scena.
M-bart|https://huggingface.co/docs/transformers/model_doc/mbart|MBART is a sequence-to-sequence denoising auto-encoder pretrained on large-scale monolingual corpora in many languages using the BART objective. mBART is one of the first methods for pretraining a complete sequence-to-sequence model by denoising full texts in multiple languages podcast
Maxine ||puoi registrare un video leggendo uno script e avendo gli occhi bassi. 
Media.io|https://www.media.io/|ottimizza in mille modi immagini audio video  voce  podcast (noise reduction reverb)
Meta llama2.ai||
Mic Check Adobe Podcast|https://podcast.adobe.com/miccheck|Get advice on how to improve your microphone setup. We’ll make sure you sound podcast-ready. podcast
Microsoft designer|https://www.bing.com/images/create/| crea immagini e cover come canva
Microsoft|https://www.bing.com/images/create/|genera immagini free ma registrazione 
Midjourney|https://www.midjourney.com/home|immagini generatore  top5
Midjourney|https://midjourney.talkai.info/it/| alternativa
Minerva|https://nlp.uniroma1.it/minerva/|AI italiana The first family of Large Language Models pretrained from scratch on Italian!
Minimax|https://minimax-ai.org/| Minimax AI Video Platform prompt generator
Myshell.ai|https://myshell.ai|Open source dev and voice cloning
Mistral|https://chat.mistral.ai|La versione europea, francese, di Mistral. Alternative chatgpt
Mistral|https://docs.mistral.ai/|La documentazione di Mistral europeo. Alternative to chatgpt
Mistral|https://mistral.ai/technology/#pricing|price
Mixo ||app all inclusive, un mix di strumenti utili per il lancio di una start up. 
Mojo|https://mojo.vn| animazioni Mojo AI | Brings art into technologies Mojo AI is an app that uses artificial intelligence to create and edit images from text, photos, or QR codes. It offers various features such as face swap, background removal, style transfer, and integration with Canva, Adobe Express, and chatGPT.
Mulesoft|https://www.mulesoft.com/|Connect any data, system, or AI model securely and automate tasks and processes wherever they run, including in legacy systems. Empower developers and business users to build efficiently with clicks, code, and AI-powered natural language prompts API, developers
MusicLM ||da Google serve a creare musica da zero. 
Myeditor|https://myedit.online/it/audio-editor|Editor Audio AI – La Tua Soluzione Unica per Sound Migliore - Migliora il tuo audio a livello professionale, con il nostro editor online gratuito. Potenti strumenti AI per convertire testo in voce, o voce in testo, rimuovere vento e rumori di fondo, cambiare la tua voce, estrarre tracce strumentali, rilevare i BPM della traccia, ritagliarla, e tanto altro. rimuove rumore di fondo. Scopri tutte le possibilità! top podcasting
Nabla Copilot||Healcare and administration capture audio during an appointment and then write up notes for the doctor to review.
Nabla copilot |https://www.nabla.com/|relazioni cliniche 
Namelix ||e inserendo alcune parole chiave ti proporrà una serie di nomi, abbinati a logo e palette colori, adatti al tuo business o che possano fungere da ispirazione. 
Nanonets|https://nanonets.com/|Nanonets è una piattaforma di elaborazione automatica dei documenti che utilizza Mistral.ai per estrarre i dati dai documenti e automatizzare i processi aziendali.
Naturalreaders.com|https://www.naturalreaders.com/|AI Text to Speech podcast NaturalReader converts any text, PDF, image, webpage and physical book into natural-sounding audio featuring the newest and highest AI voice technology. 
Neuralcanvas.io|https://neuralcanvas.io/|Neural Canvas Generated Comics, Create Photorealistic Comics with AI Become an AI writer and publish your first Series of Comic e-books Choose from 100+ different styles and characters to transform your story
Neural love|https://neural.love|Free AI Art Generator & AI Enhance immagini Neural.love offers various AI tools to create, enhance, and restore images, videos, and audios online. You can also generate stunning AI photos and avatars with text prompts, or explore useful materials and tutorials about AI-tools and AI-stuff.
NotebookLM|https://notebooklm.google.com|Carichi 50 pdf,txt o markdown e genera sintesi e anche podcast. Carica i tuoi documenti e NotebookLM risponderà a domande dettagliate o mostrerà informazioni chiave Converti materiale complesso in formati facili da capire, come domande frequenti o documenti di briefing Aggiungi risorse chiave a un notebook e condividile con la tua organizzazione per creare una knowledge base di gruppo
Notion ||ha inserito al suo interno l’AI
Nuance DAX||Healcare and administration capture audio during an appointment and then write up notes for the doctor to review.
Nvidia Canvas |pittura assistita da IA che rivoluziona il processo creativo per gli artisti digitali.immagini
Onetake|https://www.onetake.ai/product/international|migliora i video grezzi e li traduce in piu' lingue - traduzioni
Open Interpreter|| installare ChatGpt sul tuo computer. La cosa potente è che oltre ad avere tutte le funzionalità di ChatGpt,
Openai|https://www.chatgpt.com|ChatGpt direct link
Open Sora|https://github.com/hpcaitech/Open-Sora| Open-Sora: Democratizing Efficient Video Production for All hpcaitech.github.io/Open-Sora/
Open Sora|https://openai-sora.io/| Open-Sora: Democratizing Efficient Video Production for All https://openai-sora.io/
OpenAi Sora|https://openai.com/index/sora/|Sora is an AI model that can create realistic and imaginative scenes from text instructions.
OpenVino|https://docs.openvino.ai/|Simile allo stregatto, made by Intel. Consente personalizzazioni
Opus ||per i content creator. Da un video lungo, elabora video brevi, clip e shorts 
OpusClip|https://www.opus.pro/|AI VIDEO CLIPPING TOOL 1 long video, 10 viral clips. Create 10x faster. OpusClip turns long videos into shorts, and publishes them to all social platforms in one click. Powered by                     
Ora.ai|| permette di creare la tua personale intelligenza artificiale! In sostanza potrai creare dei chatbot personalizzati verticali su un argomento specifico. custom,locale
Otter.ai|https://otter.ai/|trascrive in tempo reale un meeting, anche su zoom, crea sintesi e individua compiti che si possono assegnare internamente. Supporta inglese, francese, spagnolo
Overdub|| da una breve registrazione della tua voce, puoi far riprodurre all’applicazione dei discorsi parlati che utilizzano la tua voce appunto. Audio
Palette||Trasforma le tue vecchie foto in bianco e nero in foto a colori. 
Palm2|https://ai.google/discover/palm2| is our next generation language model with improved multilingual, reasoning and coding capabilities that builds on Google’s legacy of breakthrough research in machine learning and responsible AI. 
Panda| https://pandasuite.com/it/| La piattaforma No Code più flessibil Trasforma le sue idee in fantastiche app, pubblicazioni digitali e presentazioni interattive senza scrivere una sola riga di codice.
ParaphraseTool.com|https://paraphrasetool.com/|parafrasa testi
Partyrock.aws|https://partyrock.aws/|sviluppo app amazon generative ai no coding
Perplexity ai|https://www.perplexity.ai/|search Perplexity to the next level with Pro Search, upgraded AI models, unlimited file upload, and API credits. GPT-4, Claude 3, and Perplexity for improved answers and longer context. 
Piclumen|https://piclumen.com|image toons manga generator
Pictory.ai|https://pictory.ai/|Video text prompt generator top Easy Video Creation for EVERYONE!YouTubersCourse CreatorsBusiness ProfessionalsContent CreatorsTeachersContent MarketersDigital MarketersEducational ProfessionalsL & D ProfessionalsSocial Media ManagersEnterprise Teams Create highly engaging videos in minutes using the power of AI. No video editing experience required.
Podcastle.ai|https://podcastle.ai| Amplify your voice Podcastle's AI-powered platform simplifies audio & video creation, letting you focus on bringing your ideas to life. Molto bello, genera podcast e video e musica e effetti ma solo in inglese
Polly||Generatore di parlato con il tts text to speech di Amazon. Il meglio resta solo negli USA
Pro Search is our most powerful search, ideal for longer answers to complex questions. (300+/day) Unlimited File Uploads Ask about images, documents, and more, powered by models like Claude 3 and GPT-4V. Enjoy $5 monthly credit for our text generation API. Perplexity's online LLM offers up-to-date information at low latency.Sonar,alternative chatgpt #immagini
Pi|https://pi.ai|Eccezionale
Pictory|https://pictory.ai|Pictory - Easy Video Creation For EVERYONE Pictory lets you create and edit professional quality videos from text, script, blog posts, or long-form videos in minutes. No video editing experience required, just use the power of AI and Pictory's features to make engaging videos for YouTube, social media, or SEO.
Pika labs|https://pikartai.com/labs/|genera video su prompt Pika, una startup che sta creando una piattaforma AI per modificare e generare video a partire da didascalie e immagini; based on discord, Free AI Video Generator
Pinecone|https://www.pinecone.io|Pinecone is the vector database that helps power AI for the world’s best companies
Pinokio|https://pinokio.computer/|software per installazione (haggingface) elenco modelli Pinokio is a browser that lets you install, run, and control ANY application, automatically. Download Pinokio and explore the scripts shared by the community for AI, image, audio, and more.#immagini
Pix||lets you ask questions (“Which Robert Redford movies would I like and where can I watch them?”) and then makes recommendations based on what you’ve liked in the past. 
Pizzagpt.it|https://www.pizzagpt.it/|front end a ChatGPT 3.5 turbo
Photolemur|https://photolemur.com/|photo editing software local alternative photoshop, windows, macos, plugin photoshop e lightroom
Plugins||OpenAI’s launch of GPTs this week offers a glimpse into the future where non-developers can easily create and share their own assistants.
Plugin||    Custom Instructions    Plug-in di Chat GPT 
Podlm|https://podlm.ai/it|genera podcast anche in italiano in forma di intervista. Economico ma utile solo per brevissimi contenuti. La conversazione e' noiosa. Ma di qualità audio pazzesca. Da personalizzare molto.
Podsqueeze|https://podsqueeze.com/|Audio per podcast - Automate Podcast Content Creation Ease the pressure of podcast production with Podsqueeze. Generate Transcripts, Show Notes, Titles, Blog and Social Posts, Video Clips and much more, with a single click!
Poe.com|https://www.poe.com|testa molte AI, puoi scegliere LLM preferito, elenco servizi,Alternative ChatGPT
Poe|poe.com|tutti best https://poe.com/kristopherschwa/1512928000395039
PrepostSEO||
Privacy||You’ll want to be able to decide what information the agent has access to, so you’re confident that your data is shared with only people and companies you choose.
Private GPT|https://docs.privategpt.dev/overview/welcome/introduction|Rag, offline, work on your documents offline. Support ollama e Hugginface, alternative to chatgpt
Procreate Dreams app|| priced at $19.99 for a one-time purchase, competes with other animation apps such as Animation Desk, RoughAnimator, or ToonSquid, animazioni video
Prompt Enhancer ||
Pro tools|https://www.avid.com/pro-tools|Ultimate software for music creation - editor audio
ProWritingAid|https://prowritingaid.com/|assistente di scrittura per migliorare gli articoli - l’analisi della variazione e della lunghezza delle frasi.
Publer||consente di gestire i tuoi social, di programmare le pubblicazioni. vecchio strumento che ora accetta comandi ai 
PyTorch 
Quillbot|https://quillbot.com/summarize|riassume brevi frase in versione free summarizer
RNNoise  milkv|https://community.milkv.io/t/how-to-compile-rnnoise-for-risc-v-64-in-2023/905 | sfrutta l’apprendimento automatico per togliere (in realtà secondo addestramento, c’è chi lo usa per isolare gli uccelli) dalle registrazioni audio i suoni estranei alla voce umana. Se guardi il link su Archiv e il codice scopri come funziona. Siccome è molto lontano da quel che le persone immaginano ti troveresti in difficoltà a moderare e approfondire la parte tecnica.
Rask|| clona la voce - Rask AI Rask AI app.rask.ai audio, duplica suoni traduce, lingue
Real-ESRGAN|https://github.com/xinntao/Real-ESRGAN|Real-ESRGAN aims at developing Practical Algorithms for General Image/Video Restoration. We extend the powerful ESRGAN to a practical restoration application (namely, Real-ESRGAN), which is trained with pure synthetic data.#immagini
Remodeled.ai|| riarreda uffici
